Username,Review,Rating,Thumbsup,Date
r96sk,"Each to their own, as always, but for me: Incredible!I was fully aware of 'Joker' ever since its release, impossible not to be given the extraordinary hype that surrounded it, but it still absolutely surpassed my expectations - aEach to their own, as always, but for me: Incredible!I was fully aware of 'Joker' ever since its release, impossible not to be given the extraordinary hype that surrounded it, but it still absolutely surpassed my expectations - a sensational film. I adored every second of this; and I'm not even a Joker/DC Comics etc. 'fan'.Joaquin Phoenix gives an astonishingly outstanding performance as the titular character, undoubtedly one of the greatest showings that I've ever seen from an actor. I'm not one that takes notice of awards, but he is fully deserving of anything of that ilk that he won due to this. Quality!Everything else about the film is fantastic. Great score, great cinematography, great pacing... it's all just utterly superb and makes for a spectacular watch. I love that they avoided just going wall-to-wall crazy with this, don't get me wrong things get mad but there's more to it than just violence et al.I had presumed that I was going to enjoy this, but it honestly smashed any predictions I had about it before seeing it. Even after just one viewing, I can already state it's one of my favourite films. Excellent!… Expand",10,1,"Apr 11, 2021"
Cable-,"This movie is amazing. Its original story, jokes, and realism all make it a masterpiece of a film. Joaquin Pheonix's acting as Arthur Fleck is superb. The way the directors combined a real mental illness (Pseudobulbar Affect) with a dark andThis movie is amazing. Its original story, jokes, and realism all make it a masterpiece of a film. Joaquin Pheonix's acting as Arthur Fleck is superb. The way the directors combined a real mental illness (Pseudobulbar Affect) with a dark and gruesome character is perfect. The pacing is fantastic. The movie doesn't rush things. Overall, 10/10 movie, go watch it if you haven't.… Expand",10,0,"Apr 12, 2021"
tomwatson,"brilliant, made  more  so  by  the  hatred  of  the  wet  wokes. A  proper  movie  in  an  era  that  will  be  defined  by  the  lack  of  good  movies.",10,1,"Apr 12, 2021"
Hendo250,this movies is a 10 this movies is a 10 this movies is a 10 this movies is a 10,10,0,"Apr 13, 2021"
Lalstarxx,"This was everything i could have hoped for in a back story, phoenix's performance was completely out of this world.",10,0,"Apr 14, 2020"
blackburne,"the best movie i have ever seen in my whole life. if it isn't a DC movie, or renamed as ''The Clown'' most",10,0,"Apr 14, 2022"
ferrisb,"First half was not exciting really, not much happened, it was fine, but the last 45 mins was a lot better, with some really enjoyable moments",4,0,"Apr 15, 2022"
MrDC,"Most of the critics don't know what they're looking at. My wife is a neuropsychologist and I teach mindfulness. To us, this film is a triumphant portrait of mental illness.",10,0,"Apr 16, 2022"
phantasmagoria1,"Perfect in every aspect. The acting, the script, the sound design fantastic.",10,0,"Apr 18, 2020"
Jokergang4,Masterpiece and great character piece. This film is arguably the best DC film since the Dark Knight.,10,0,"Apr 19, 2021"
Marty1104,I loved the dark and gritty Atmosphere of the Movie. Also Phoenix acting was outstanding and terryfying.,10,0,"Apr 25, 2022"
Kazeem,My Best movie ever...My love for this movie is extremely highI rate it 10/10,10,0,"Apr 27, 2020"
ramanamafana,"One of the best movies in 2019, there is something artistic and so true in this production. We can find part of ourself in the main character - Joker and see what could happen if we take hatred further.",10,0,"Apr 29, 2020"
Mclovin69,"This review contains spoilers, click expand to view.
        
The scene where he murdered murry was intense. How now brown cow. Sorry just writing random stuff because for some reason it can't be less than 75 characters even though I have nothing else to say than my first my comment.… Expand",10,0,"Apr 30, 2020"
JordanLayton,"Overhyped in the name of getting quotes like ""there is the world before Joker and there is the world after Joked"" spread all over the internet for reviewer clout. This movie is far from disappointing, but ANYTHING would have been after allOverhyped in the name of getting quotes like ""there is the world before Joker and there is the world after Joked"" spread all over the internet for reviewer clout. This movie is far from disappointing, but ANYTHING would have been after all the hype this film got (supposed standing ovations at festivals and winning an award a bunch of best picture winners have won previously).Now, about the actual movie In a lot of ways, its Taxi Driver with a DC skin. It has the same tone and a lot of the same themes, but plot beats and base character motivations are drastically different. What you've heard about Phoenix's performance is all true, but I also loved the sometimes demented, sometimes classic style of cinematography and how the score would switch back and forth between sounding like what the character's perceived feelings on the events/situations were in a scene and what a sane person's perceptions of that same scene would be (triumphant vs. horrific).In addition to Jaoquin's performance, I thought that the few brief moments the supporting cast were given to play in were acted flawlessly as well. Zazzy Beats, Bryan Tyree Henry, and Deniro all had a brief moment to shine and they all took full advantage. I only have two real complaints about the film. First, I thought almost all additional tie-ins to the DC universe were the weakest parts of the movie. One with pearls felt particularly shoehorned in. And second, I wish the film had cut to black on the last line of dialogue Phoenix delivered. It would have been just a bit more effective than the more drawn out ending we got, I think, because that last line has some real punch to it. Maybe it would have felt cheesy. Lmk. Not a masterpiece, but I really enjoyed it and will definitely see it again.… Expand",7,0,"Apr 30, 2020"
7Peacewalker7,"It is perfect, perfectly executed movie ever. This is what life is about, not always flashy, is it?",10,0,"Aug  1, 2021"
rajvernekar,"Just superb, don't belive the critics. The best joker origin movie that could have been made",10,1,"Aug  2, 2020"
Obliivious,The people never listen to these so called “critics”.  I’m glad we don’t.,10,1,"Aug  5, 2020"
KenR,"How easily pleased have people become? When a ‘major’ movie is this simplistic and obviously just another copy of many other overrated downers – it leaves someone needing to explain how this nonsense then goes on to rate a ridiculous 11 OscarHow easily pleased have people become? When a ‘major’ movie is this simplistic and obviously just another copy of many other overrated downers – it leaves someone needing to explain how this nonsense then goes on to rate a ridiculous 11 Oscar nominations? Who can truly take the Oscars seriously any longer? Joker is a typical super-ugly, comic book R Rated serial killer story - which grinds its endless way through non-stop, grotesque situations of the most maudlin kind. We’ve already seen this character (somewhat over-played by Phoenix) far too many times in the past.  Even the dark, sleazy settings don’t invite interest, and has left many viewers wanting it all to end quickly but no, it drags on for over two hours, feeling painfully more like three. Then there’s the casting of an over-used De Niro, intended to help capitalise on some of those ‘gangster- obsessed’ Scorsese offerings. Many paid to see this over-hyped lowbrow tosh, expecting to experience a masterpiece - only to wish they could get back their time and money for better use. If uninspired morbidity is your thing, you’ll get a bellyful – otherwise, stay well away and watch this junk fade into the obscurity it deserves, hopefully, along with the copycat movie makers. The final images this movie creates of carnage on the streets of America, looks more like the sorry, robotic BLM mayhem that’s reducing the USA to a decaying mess. Just what the CCP and others would be quite happy to see – Civil War.  Such a pitiful shame and a sick joke.… Expand",2,3,"Aug  6, 2020"
Critic100r,"This review contains spoilers, click expand to view.
        
He didn't deserve to win the Oscar. I think he has one of the best special effects in DC, with agonizing and claustrophobic scenes, it also gives you that feeling, but it's even interesting.… Expand",8,0,"Aug  6, 2022"
bshu89,"Joker is one of the best experiences I’ve ever had in a movie theater. Not just this year - but ever. Phoenix was absolutely brilliant. Phillips directed the heck out of this film. I knew this movie would be good, but I had no idea it wouldJoker is one of the best experiences I’ve ever had in a movie theater. Not just this year - but ever. Phoenix was absolutely brilliant. Phillips directed the heck out of this film. I knew this movie would be good, but I had no idea it would be this good.I loved it. Easily one of the best of 2019.… Expand",10,0,"Aug 13, 2021"
The__Kurgan,"Just awesome. Really, one of the best movies I've seen in a while. I did not think anyone else could do Joker justice after Heath Ledger's portrayal, but Joacquin Phoenix is right up there. Of course, the comparison is a little unfair seeingJust awesome. Really, one of the best movies I've seen in a while. I did not think anyone else could do Joker justice after Heath Ledger's portrayal, but Joacquin Phoenix is right up there. Of course, the comparison is a little unfair seeing as Phoenix for the majority of the film is not playing ""the Joker"", he plays Arthur Fleck. He only becaomes the Joker very late on. His speech at the ennding is mesmorising. You can literally see Fleck become the Joker in just 2 lines.… Expand",10,1,"Aug 16, 2020"
WormGod,"Even though we’re talking about a fundamentally negative hero, the film itself still gives the feeling that the truth will eventually win. The mode of the performance, the dark visuals, Arthur’s downfall until Joker was born ... amazing work.Even though we’re talking about a fundamentally negative hero, the film itself still gives the feeling that the truth will eventually win. The mode of the performance, the dark visuals, Arthur’s downfall until Joker was born ... amazing work. Form the first moment, the film doesn’t let you go of the anxiety you get into at the beginning. It was a huge experience for me.… Expand",10,0,"Aug 19, 2021"
Danielpve,"Dumb movie for dumb people. There's nothing about this thing that is actually interesting or ""deep"", and the worst thing is that it's not even entertaining",2,4,"Aug 20, 2020"
Dovakinxr7,"O filme tem ótimas atuações, principalmente do Joaquin Phoenix (Joker), tom do filme cai como uma luva,história de origem bem contada, a violência foi bem feita, a trilha sonora é espetacular.Creio que o único defeito é que faltou maisO filme tem ótimas atuações, principalmente do Joaquin Phoenix (Joker), tom do filme cai como uma luva,história de origem bem contada, a violência foi bem feita, a trilha sonora é espetacular.Creio que o único defeito é que faltou mais coringa, muito pouco tempo de tela.Fiquei super satisfeito!… Expand",10,1,"Aug 20, 2020"
LevelBike,"The Movie itself isn’t horrible at all, Joaquin Phoenix carry’s the movie on his shoulders, it does have a few slower moments but the more fast paced moments make up for that. Definitely worth the watch.",8,1,"Aug 21, 2020"
porcino,"Sorria, no medo e agonia, sorria!As lagrimas vão escorrer para o chão, e então faça o que deveria, sorria! Busque a alegria!",10,1,"Aug 22, 2020"
Mikeyman101,"Joker is not only one of the greatest DC films of all time, but it’s also the greatest comic book movies of all time. And I can’t believe critics gave this movie mixed reviews, plus first r rated movie to make a billion dollars at the boxJoker is not only one of the greatest DC films of all time, but it’s also the greatest comic book movies of all time. And I can’t believe critics gave this movie mixed reviews, plus first r rated movie to make a billion dollars at the box office, great film go check it out… Expand",10,0,"Aug 26, 2022"
Gorbunov2004,"Офигенный фильм про становлении Джокера, во время фильма ни разу не было скучно его смотреть.",10,0,"Aug 28, 2021"
AegisToaster,Long Overdue Review - I have never enjoyed comic books or anything inspired by them. Yet Joaquin Phoenix's masterful performance charmed me and made me interested in going back and begin watching movies / TV Shows I previously snubbed orLong Overdue Review - I have never enjoyed comic books or anything inspired by them. Yet Joaquin Phoenix's masterful performance charmed me and made me interested in going back and begin watching movies / TV Shows I previously snubbed or disregarded. Easily my favorite movie of 2019 and perhaps the decade!… Expand,10,1,"Aug 31, 2020"
SwimmingBird,"the performance by Joaquin Phoenix is truly an acting benchmark for the movie industry and all other actors; the organic and realistic way in which they've created a villian is the best I've seen ever, you can easily tell the script writerthe performance by Joaquin Phoenix is truly an acting benchmark for the movie industry and all other actors; the organic and realistic way in which they've created a villian is the best I've seen ever, you can easily tell the script writer knows a good deal about psychology, and cinematographicaly speaking this movie is quite the masterpiece!… Expand",10,0,"Dec  1, 2019"
Aryansingh,"So fascinating,thrilling,entertaining and violent in a very amazing way.Phoenix is mesmerizing and utterly captivating.Definitely the best movie of the year and one of the best of all times.",10,1,"Dec  1, 2019"
CitizenTitus,"I think some people in the theater, okay most of the people, were confused why I was laughing. Well they will all get the joke one day.",9,0,"Dec  1, 2019"
iamPersian,"It was great, one of the best movies i've seen, as I was watching I felt like I was him it made me hurt when he hurted, when he was happy i was happy so it really had some effect on me.",10,0,"Dec  2, 2019"
BarbaLongdoOest,"Joker é bom; mas não é tudo isso, é um filme que carece de uma emoção e de uma caminhada que cative, o filme tenta ser complexo e profundo mas só o que consegue é uma abordagem seca e sem filtro, no final das contas a única coisa que vale aJoker é bom; mas não é tudo isso, é um filme que carece de uma emoção e de uma caminhada que cative, o filme tenta ser complexo e profundo mas só o que consegue é uma abordagem seca e sem filtro, no final das contas a única coisa que vale a pena aqui é atuação de Joaquin Phoenix,um filme que só tem uma boa atuação não faz dele automaticamente bom… Expand",7,0,"Dec  3, 2019"
sendani,"i donot love nolan movies , but after see the joker movie , now i am nolan fan ,joker its so bad. todd philips just normal director in hangover genre",0,1,"Dec  3, 2019"
Andremax,"Joker isn't that original, but creates an unique and convinving atmosphere that totally make justice to this villian's story. It's visceral, dirty, heavy, dense and painfully sarcastic, everything that a film like this asks for.",8,1,"Dec  3, 2019"
LianIz,"This review contains spoilers, click expand to view.
        
Best DC movie since The Dark Knight. Tense, emotional and has a touch of realism.… Expand",10,0,"Dec  3, 2019"
Conas,"Man, holy **** I don't why I waited so long to see this. This film isn't even about the joker, it's about Arthur. It's so good. future me, when you forget about it, this a really good **** movie",9,0,"Dec  4, 2019"
Guizmo,"Great movie, but not a masterpiece. The movie excels on telling a story about a slowly growing psychopath that gets where he is due to the society rejecting him, by showing it oppress Joker in a lot of ways that, while we don't agree at allGreat movie, but not a masterpiece. The movie excels on telling a story about a slowly growing psychopath that gets where he is due to the society rejecting him, by showing it oppress Joker in a lot of ways that, while we don't agree at all with what he does at the end of the movie, we can't stop but feel sorry about him and even understand him a little. Speaking of the Joker, holy s*it, Joaquim Phoenix nailed on the role of the character! He managed to show us how a mentally ill man behaves without getting too much exaggerated to sound forced, he managed to give to us a brand new version of the character, which I enjoy WAY more than the original one, and it rivals with Robert Downey Jr to be the best actor to portray a comic book character until now. The direction is pretty solid, without any points where the quality of it decreases but without any highlights, and the soundtrack is really good. There are only two problems with the movie, the first being the guy that runs the television show, what he does during the movie doesn't make so much sense and it gets a bit ridiculous, I know that he is egocentric and all but that was simply way to unrealistic for me to ignore. The second one is that, despite Joaquim amazing performance, Arthur was not the most charismatic I have seen in a movie, outside of all the suffering and madness he goes through, I can't find much more character identity on him, we never saw him outside of an endless wheel of suffering that, I must admit, while good, started to get me tired on the last third of the movie. With that being said, the qualities overthrow the flaws, and the movie is really good, I just think while he performs everything very well, he excels at nothing outside Joaquim performance, and those two problems I stated previously really stop him from being a masterpiece, but he is worth your time. 8.5/10 Best DC movie.… Expand",8,1,"Dec  4, 2019"
jonestown,"First off, Joaquin Phoenix murders his Joker role.Joker is an uncomfortable watch, but fascinating too. Bleak, vicious and bruising, it might be a slow-burner, but the punchline is well worth waiting for.",10,0,"Dec  4, 2019"
SOMUTIE,Bu film beni ciddi anlamda etkiledi şuan o filmin anlatmak istediğini yaşatmak istediğini anlatamam ama iyi anlattığı belli ve bu film en az 80 hakediyor.bunun yanında filmi anlayıp izlemek ve anlayabilmek baya iyi psikoloji anlamında güzelBu film beni ciddi anlamda etkiledi şuan o filmin anlatmak istediğini yaşatmak istediğini anlatamam ama iyi anlattığı belli ve bu film en az 80 hakediyor.bunun yanında filmi anlayıp izlemek ve anlayabilmek baya iyi psikoloji anlamında güzel işler çıkarmış bir film tebrikler güzel bir film deil sanattı.… Expand,10,0,"Dec  4, 2022"
Mrmoney57,It was amazing i loved every bit of it!! Joaquin Phoenix is an amazing actor!! I’d say he plays the joker very well!,10,0,"Dec  5, 2019"
AffenhirnAufEis,"Ich liebe diesen Film, es ist ein Meisterwerk für mich. So muss Kino sein ich wünsche mir mehr solche Filme",10,0,"Dec  5, 2021"
Optin,"Amazing, I felt the emotions and I understood the joker. Great actors, great story, great backstory, great everything",10,0,"Dec  6, 2019"
MarcoV246,"It’s not that good, wish it was better. Script was weak and dialogue was cliche",2,1,"Dec  6, 2019"
imbicky,"This review contains spoilers, click expand to view.
        
Great  Cinematography, Shady Dark Ugly Retro settings, and music was good for normal person. I didn’t think to get such a Violent Deep scary movie from a director who directed all funny movies like The Hangover series..!! Secondly the name of Movie was quite oppotise to story. No doubt, ground breaking performance by Jaoquin. The person who lost his  20kg wight for pscyhc role.  Story of  Arthur Fleck ( Joker) A person who has history of multiple psychic disorders because of his horrible childhood, his mother also faced some mental issues. Arthur chooses to express his anger by killing the bad people, who didn't understood his mental condition, disporportional laugh according to situations.His expression of intolerance starts with killings of 3 men in a subway teasing a girl in a metro then his collegue who guides him in wrong way to take away his job,  then his colleague, his mom, then kills his favourite host of a famous reality show who uses people like him and mean while his expression of suppression gives him craze in old suppressed society which makes Joker feels Proud about him and ends up killing Thomas Wayne, the mayor of  Gotham and finally lands him in a Psychiatric ward. #PersonalOpinion: I think, there are two ways to express extreme level of  depression, one is by killing yourself ( Sucide), other is by killing those, who are reason of your depression. People reach at this Extreme level, when we ignore them, we don't listen what they exactly want to say, what they want us to understand, we simply assume more, reach at conculsions. If our so called civilized society will continue, this behaviour with one another, it will lead to a dark, disorganized and full of people with paradoxical laughter only.… Expand",9,0,"Dec  6, 2019"
EduardoBrenner,"Joker is a good movie that wants to think it's the film of a decade. Interesting, irreverent but still falls into the well know good vs. evil war, where things are never really full represented, but one way viewed. Essentially, joker is aJoker is a good movie that wants to think it's the film of a decade. Interesting, irreverent but still falls into the well know good vs. evil war, where things are never really full represented, but one way viewed. Essentially, joker is a film that emerged for the audience due an enormous identification with a character's resentment over others, society and the self failure he blaimes the world for. Still, can't find the subtlety the theme needs to find truth and dimension on the character construction. Again, Joker (2019) is a beautiful film that needs to understand it's nature and stop pretending to be a life changing story telling, accepting it's faults and growing on them.… Expand",7,1,"Dec  6, 2019"
Abydos6,Saw this in theatres. You could switch the name of this movie to Arthur and it wouldn’t change anything about how lacking this movie was of anything to do with DC’s Joker villain. It was a story about a villain who excelled at one thing andSaw this in theatres. You could switch the name of this movie to Arthur and it wouldn’t change anything about how lacking this movie was of anything to do with DC’s Joker villain. It was a story about a villain who excelled at one thing and that was to COMPLAIN. The character was absent of the ingenuity and dark cunning that are the fundamental characteristics that make its famous anti-hero the Joker. The characters story is all nearly encased in the typical socialist narrative to appeal to modern popular ideology. I don’t know what this movie was but if you are looking to enjoy the cunning genius shared by the greats like Heath Ledger and Mark Hamill you won’t find it in this movie. Just an empty prettied up nobody with flashy dance moves and a running mouth.… Expand,0,4,"Dec  6, 2019"
BullyMaguire,"The fact that critics gave this movie bad reviews is **** This movie was so dang good. The performance from Phoenix was great. The Joker (Arthur Fleck) is a character that is very well written and I just love how it shows Arthur FleckThe fact that critics gave this movie bad reviews is **** This movie was so dang good. The performance from Phoenix was great. The Joker (Arthur Fleck) is a character that is very well written and I just love how it shows Arthur Fleck becoming the Joker and a very tragic and heartfelt way. Also, the music is very well done.… Expand",10,1,"Dec  6, 2021"
mcleanman36,This movie is hands down the best movie to have the Joker in it.  Phoenix is phenomenal and gives an absolute performance of a lifetime.  He sells out and is believable in every second of this movie.  This movie has deep statements about theThis movie is hands down the best movie to have the Joker in it.  Phoenix is phenomenal and gives an absolute performance of a lifetime.  He sells out and is believable in every second of this movie.  This movie has deep statements about the state of mental disorders in our society and how easy it is to fall in the cracks of society.  Then when they reach out it can generally be to late and they can do some horrible things.… Expand,10,0,"Dec  6, 2021"
ValeraBahley,"Fine movie, probably not timeless masterpiece, but 100% recommended. Judge by yourself, soyboy zelda fans butthurting is a good sign",10,0,"Dec  7, 2019"
aurelks,"Definitely not what I expected to see, but turned out i LOVED it!!! Very emotional",8,0,"Dec  7, 2019"
Pokemonfan1,Amazing movie that will be remembered for years to come. This is a must watch movie,10,0,"Dec  7, 2019"
Folky63,"This is the best thing I’ve ever seen in 20 years. No black “good guy”, no “strong woman”, no homosexuality.",10,0,"Dec  7, 2019"
rideawave,"I think people like this movie more because they love the Joker character. As a movie, it's average at best. It's a little too broad and basic for my tastes but the final act picks it up a bit. I don't think it's a great movie but there areI think people like this movie more because they love the Joker character. As a movie, it's average at best. It's a little too broad and basic for my tastes but the final act picks it up a bit. I don't think it's a great movie but there are some good scenes.… Expand",6,3,"Dec  7, 2020"
DausenMoore,"Joker is easily one of my favorite movies ever. It's nothing like any other Marvel or DC movie you've ever seen before and I honestly have no complaints. I loved the story, acting, music, pacing, etc. I also really appreciate that they didn'tJoker is easily one of my favorite movies ever. It's nothing like any other Marvel or DC movie you've ever seen before and I honestly have no complaints. I loved the story, acting, music, pacing, etc. I also really appreciate that they didn't make him into an anti-hero like Venom, Maleficent, etc. Joker is a villain and they don't try to change that, they just help you understand how he became a villain. I highly recommend it.… Expand",10,0,"Dec  7, 2020"
jokerisgreatest,JOKER IS GREATEST MOVIE ALL TIME!!! **** DA CRITICS THEY DONT KNOE **** S O C I E T Y,10,0,"Dec  8, 2019"
noob328,this film is decent and has the best Joaquin Phoenix performance on-screen period that's all,10,2,"Dec  8, 2020"
Knodeadman,"Espere mas de 2 meses para poder ver esta pelicula en el cine, debido a lo que suscede en mi pais, y lo unico que puedo decir es que la espera valio la pena, exelente actuacion de Joaquin Phoeanix un jocker espectacular.",10,0,"Dec  9, 2019"
aronfist,Zaebis film po kayfu ezhi marvel dlya pidorasov Vavavqvqvqvavavavaavvaavava,10,0,"Dec  9, 2019"
LordFarquad,"The film didn’t seem particularly cool to me, it is very overrated, in principle, you can watch it. A good game of the Phoenix, the plot will come off, filmed and mounted is also good. The film conveys the gloomy atmosphere well. This filmThe film didn’t seem particularly cool to me, it is very overrated, in principle, you can watch it. A good game of the Phoenix, the plot will come off, filmed and mounted is also good. The film conveys the gloomy atmosphere well. This film shows the current society well. The Joker is a film that suggests thinking.… Expand",7,0,"Dec  9, 2019"
BFM,We need more movies like this.A middle finger to happy endings and PG13.A new era for WB has begun.,10,0,"Dec  9, 2019"
